lead_id,lead_source,lead_source_type,agentId,yearCreated,monthCreated,dayCreated,dayName,state,zip_code,electric_company,status
56016,172,6,,2021,2,11,Thursday,,,,66
56016,172,6,3866415,2021,2,11,Thursday,,,,23
56016,172,6,5136817,2021,2,11,Thursday,,,,21
56017,173,6,,2021,2,11,Thursday,,,,66
56017,173,6,9327768,2021,2,11,Thursday,,,,80
56017,173,6,1368598,2021,2,11,Thursday,,,,34
56018,143,17,3866415,2021,2,11,Thursday,,,,23
56018,143,17,3326583,2021,2,11,Thursday,,,,21
56020,181,16,6732050,2021,2,11,Thursday,,,,23
56020,181,16,6732050,2021,2,11,Thursday,,,,5
56021,172,6,,2021,2,11,Thursday,,,,66
56021,172,6,3866415,2021,2,11,Thursday,,,,23
56022,193,6,,2021,2,11,Thursday,,,,66
56022,193,6,9327768,2021,2,11,Thursday,,,,80
56022,193,6,9745922,2021,2,11,Thursday,,,,21
56024,230,6,,2021,2,11,Thursday,Missouri,65672,Empire-Liberty,66
56024,230,6,3866415,2021,2,11,Thursday,Missouri,65672,Empire-Liberty,23
56024,230,6,9593081,2021,2,11,Thursday,Missouri,65672,Empire-Liberty,21
56024,230,6,9593081,2021,2,11,Thursday,Missouri,65672,Empire-Liberty,21
56024,230,6,9593081,2021,2,11,Thursday,Missouri,65672,Empire-Liberty,3
56025,174,6,,2021,2,11,Thursday,,,,66
56025,174,6,3866415,2021,2,11,Thursday,,,,23
56026,146,34,1206784,2021,2,11,Thursday,,,Other,21
56027,193,6,6419170,2021,2,11,Thursday,,,,21
56027,193,6,6419170,2021,2,11,Thursday,,,,58
56028,146,34,1206784,2021,2,11,Thursday,,,,23
56028,146,34,7346193,2021,2,11,Thursday,,,,5
56029,193,6,2218026,2021,2,11,Thursday,,,,21
56029,193,6,6738979,2021,2,11,Thursday,,,,5
56030,172,6,,2021,2,11,Thursday,,,,66
56030,172,6,3866415,2021,2,11,Thursday,,,,23
56031,230,6,,2021,2,11,Thursday,,,,66
56031,230,6,6732050,2021,2,11,Thursday,,,,76
56032,230,6,,2021,2,11,Thursday,,,,66
56032,230,6,6732050,2021,2,11,Thursday,,,,23
56032,230,6,2916217,2021,2,11,Thursday,,,,21
56033,193,6,1368598,2021,2,11,Thursday,,,Arkansas Valley Electric,34
56034,230,6,,2021,2,11,Thursday,,,,66
56034,230,6,6732050,2021,2,11,Thursday,,,,23
56035,29,17,1206784,2021,2,11,Thursday,,,,23
56036,230,6,,2021,2,11,Thursday,Arkansas,72032,Entergy,66
56036,230,6,3326583,2021,2,11,Thursday,Arkansas,72032,Entergy,21
56036,230,6,3326583,2021,2,11,Thursday,Arkansas,72032,Entergy,3
56036,230,6,3326583,2021,2,11,Thursday,Arkansas,72032,Entergy,21
56037,230,6,,2021,2,11,Thursday,,,,66
56037,230,6,3866415,2021,2,11,Thursday,,,,23
56037,230,6,6732050,2021,2,11,Thursday,,,,53
56038,230,6,,2021,2,11,Thursday,,,,66
56038,230,6,3866415,2021,2,11,Thursday,,,,23
56039,193,6,2711226,2021,2,11,Thursday,Oklahoma,74344,Other,21
56039,193,6,2711226,2021,2,11,Thursday,Oklahoma,74344,Other,3
56040,193,6,1368598,2021,2,11,Thursday,Missouri,65714,Ozark Missouri,21
56040,193,6,1368598,2021,2,11,Thursday,Missouri,65714,Ozark Missouri,3
56041,230,6,,2021,2,11,Thursday,,,,66
56041,230,6,3866415,2021,2,11,Thursday,,,,23
56043,214,17,1206784,2021,2,11,Thursday,,,,23
56046,221,34,2916217,2021,2,11,Thursday,,,,30
56049,221,34,3866415,2021,2,11,Thursday,,,,34
56050,172,6,,2021,2,11,Thursday,,,,66
56050,172,6,1206784,2021,2,11,Thursday,,,,23
56051,221,34,3610377,2021,2,11,Thursday,Oklahoma,74019,Other,21
56051,221,34,3610377,2021,2,11,Thursday,Oklahoma,74019,Other,3
56051,221,34,3610377,2021,2,11,Thursday,Oklahoma,74019,Other,21
56053,230,6,,2021,2,11,Thursday,,,,66
56053,230,6,2916217,2021,2,11,Thursday,,,,23
56054,230,6,,2021,2,11,Thursday,,,,66
56054,230,6,6732050,2021,2,11,Thursday,,,,64
56056,193,6,9745922,2021,2,11,Thursday,Oklahoma,73025,Other,21
56057,143,17,2916217,2021,2,11,Thursday,,,,23
56057,143,17,3326583,2021,2,11,Thursday,,,,21
56058,172,6,,2021,2,11,Thursday,,,,66
56058,172,6,6732050,2021,2,11,Thursday,,,,23
56059,193,6,,2021,2,11,Thursday,Arkansas,72751,Carroll,66
56059,193,6,2916217,2021,2,11,Thursday,Arkansas,72751,Carroll,23
56059,193,6,2916217,2021,2,11,Thursday,Arkansas,72751,Carroll,66
56059,193,6,9327768,2021,2,11,Thursday,Arkansas,72751,Carroll,80
56059,193,6,6419170,2021,2,11,Thursday,Arkansas,72751,Carroll,21
56059,193,6,6419170,2021,2,11,Thursday,Arkansas,72751,Carroll,3
56059,193,6,6419170,2021,2,11,Thursday,Arkansas,72751,Carroll,21
56060,230,6,,2021,2,11,Thursday,,,,66
56060,230,6,2916217,2021,2,11,Thursday,,,,23
56061,230,6,,2021,2,11,Thursday,,,,66
56061,230,6,2916217,2021,2,11,Thursday,,,,23
56062,6,17,3866415,2021,2,11,Thursday,,,,23
56063,230,6,,2021,2,11,Thursday,,,,66
56063,230,6,2916217,2021,2,11,Thursday,,,,23
56064,230,6,,2021,2,11,Thursday,Oklahoma,73162,OG&E,66
56064,230,6,2916217,2021,2,11,Thursday,Oklahoma,73162,OG&E,23
56064,230,6,8303669,2021,2,11,Thursday,Oklahoma,73162,OG&E,21
56064,230,6,8303669,2021,2,11,Thursday,Oklahoma,73162,OG&E,3
56064,230,6,8303669,2021,2,11,Thursday,Oklahoma,73162,OG&E,21
56065,230,6,,2021,2,11,Thursday,Arkansas,72719,Carroll,66
56065,230,6,1206784,2021,2,11,Thursday,Arkansas,72719,Carroll,23
56065,230,6,7496997,2021,2,11,Thursday,Arkansas,72719,Carroll,21
56066,214,17,3610377,2021,2,11,Thursday,,,,23
